id,name,album,release_date,track_number,attribute names,attribute values,uri
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,danceability,0.758,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,liveness,0.0939,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,instrumentalness,1.09E-05,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,energy,0.691,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,duration_ms,247533,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,popularity,70,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,speechiness,0.0515,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,tempo,119.997,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,loudness,-5.798,spotify:track:733OhaXQIHY7BKtY3vnSkn
733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,valence,0.538,spotify:track:733OhaXQIHY7BKtY3vnSkn
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,acousticness,0.316,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,danceability,0.471,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,liveness,0.0673,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,instrumentalness,0,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,energy,0.509,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,duration_ms,250100,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,popularity,69,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,speechiness,0.0355,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,tempo,144.071,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,loudness,-8.796,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,valence,0.0567,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,acousticness,0.0999,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,danceability,0.582,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,liveness,0.115,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,instrumentalness,0,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,energy,0.788,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,duration_ms,195700,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,popularity,70,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,speechiness,0.0445,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,tempo,160.027,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,loudness,-5.358,spotify:track:1ULabO0PEsdJekqVH6G10G
1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,valence,0.652,spotify:track:1ULabO0PEsdJekqVH6G10G
0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,13,acousticness,0.25,spotify:track:0lKUBmEyQfzsQHozyeXzES
0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,13,danceability,0.772,spotify:track:0lKUBmEyQfzsQHozyeXzES
0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,13,liveness,0.0981,spotify:track:0lKUBmEyQfzsQHozyeXzES
0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,13,instrumentalness,2.92E-05,spotify:track:0lKUBmEyQfzsQHozyeXzES
